Model,Score
CatBoost+Threshold,0.5484936625756718
SoftVoting+W+Threshold,0.5481995147795782
SoftVoting+Threshold,0.5464272079071262
GB+Threshold,0.5457506448694508
XGB+Threshold,0.5449977771247115
XGB,0.5408318382007468
CatBoost,0.5396971314518277
SoftVoting,0.5384818703641332
SoftVoting+W,0.5366054074188247
GB,0.5361513275539075
RF,0.5346116075625902
LGBM+Threshold,0.5340949863874342
Stacking,0.5305020012315091
LGBM,0.5278629469046672
