iter	Passed	Remaining
406	7442	10843
407	7459	10823
408	7475	10802
409	7492	10782
410	7509	10762
411	7531	10748
412	7550	10731
413	7566	10710
414	7584	10691
415	7602	10672
416	7618	10650
417	7636	10632
418	7652	10611
419	7669	10590
420	7684	10568
421	7699	10546
422	7715	10524
423	7732	10504
424	7749	10484
425	7765	10463
426	7781	10442
427	7798	10421
428	7813	10400
429	7827	10376
430	7844	10356
431	7859	10333
432	7874	10311
433	7889	10289
434	7904	10266
435	7920	10245
436	7936	10225
437	7952	10203
438	7965	10179
439	7983	10160
440	7998	10138
441	8016	10120
442	8034	10101
443	8049	10079
444	8065	10058
445	8081	10038
446	8097	10018
447	8111	9994
448	8128	9974
449	8145	9956
450	8164	9938
451	8181	9919
452	8196	9897
453	8214	9879
454	8233	9861
455	8249	9841
456	8266	9822
457	8281	9800
458	8298	9781
459	8314	9760
460	8330	9740
461	8349	9722
462	8363	9700
463	8380	9681
464	8396	9660
465	8413	9640
466	8429	9621
467	8447	9602
468	8466	9586
469	8485	9568
470	8499	9546
471	8513	9524
472	8532	9506
473	8551	9489
474	8570	9472
475	8587	9453
476	8607	9437
477	8626	9420
478	8666	9426
479	8728	9455
480	8761	9454
481	8783	9439
482	8802	9422
483	8826	9410
484	8849	9396
485	8869	9380
486	8891	9366
487	8910	9348
488	8931	9332
489	8951	9316
490	8977	9306
491	8997	9289
492	9030	9286
493	9054	9274
494	9078	9261
495	9102	9249
496	9129	9239
497	9150	9224
498	9176	9213
499	9203	9203
500	9221	9184
501	9242	9168
502	9267	9157
503	9294	9146
504	9318	9134
505	9338	9117
506	9362	9103
507	9382	9086
508	9403	9070
509	9424	9055
510	9452	9045
511	9471	9027
512	9493	9012
513	9513	8994
514	9534	8978
515	9559	8966
516	9580	8950
517	9598	8931
518	9616	8912
519	9635	8894
520	9660	8881
521	9682	8866
522	9709	8855
523	9730	8839
524	9751	8822
525	9773	8807
526	9794	8790
527	9816	8775
528	9841	8762
529	9874	8756
530	9899	8743
531	9924	8730
532	9945	8713
533	9964	8695
534	9991	8683
535	10021	8675
536	10042	8658
537	10065	8643
538	10093	8633
539	10126	8626
540	10147	8609
541	10172	8596
542	10193	8578
543	10211	8559
544	10231	8542
545	10251	8524
546	10285	8517
547	10313	8506
548	10333	8488
549	10356	8473
550	10378	8457
551	10394	8436
552	10419	8422
553	10440	8405
554	10462	8388
555	10482	8371
556	10506	8356
557	10534	8344
558	10557	8328
559	10577	8310
560	10602	8296
561	10623	8279
562	10642	8260
563	10665	8244
564	10684	8226
565	10702	8206
566	10723	8189
567	10746	8173
568	10764	8153
569	10784	8135
570	10804	8117
571	10826	8101
572	10846	8082
573	10866	8064
574	10885	8045
575	10902	8025
576	10918	8004
577	10936	7984
578	10953	7964
579	10977	7949
580	10998	7932
581	11018	7913
582	11038	7895
583	11055	7875
584	11072	7854
585	11089	7834
586	11105	7813
587	11122	7793
588	11140	7774
589	11157	7753
590	11176	7734
591	11192	7713
592	11209	7693
593	11225	7672
594	11238	7650
595	11253	7627
596	11269	7607
597	11285	7586
598	11299	7564
599	11316	7544
600	11332	7523
601	11347	7502
602	11363	7481
603	11377	7459
604	11392	7438
605	11407	7416
606	11423	7395
607	11436	7373
608	11451	7352
609	11466	7330
610	11480	7309
611	11494	7287
612	11509	7265
613	11524	7244
614	11540	7224
615	11554	7203
616	11570	7182
617	11587	7162
618	11602	7141
619	11616	7119
620	11632	7099
621	11647	7078
622	11662	7057
623	11681	7038
624	11699	7019
625	11717	7000
626	11734	6981
627	11750	6960
628	11765	6939
629	11785	6921
630	11802	6902
631	11819	6882
632	11835	6862
633	11851	6841
634	11866	6820
635	11881	6800
636	11896	6779
637	11910	6758
638	11926	6737
639	11943	6718
640	11960	6698
641	11978	6679
642	11995	6659
643	12012	6640
644	12028	6620
645	12044	6600
646	12062	6581
647	12081	6563
648	12102	6545
649	12124	6528
650	12140	6508
651	12158	6489
652	12175	6469
653	12191	6449
654	12210	6431
655	12229	6413
656	12248	6394
657	12267	6376
658	12284	6356
659	12301	6337
660	12323	6320
661	12340	6300
662	12359	6282
663	12377	6263
664	12398	6245
665	12414	6225
666	12431	6206
667	12447	6186
668	12463	6166
669	12478	6145
670	12493	6125
671	12510	6106
672	12539	6092
673	12554	6072
674	12569	6052
675	12585	6031
676	12601	6012
677	12617	5992
678	12633	5972
679	12649	5952
680	12665	5932
681	12681	5913
682	12701	5895
683	12722	5877
684	12741	5859
685	12760	5840
686	12779	5822
687	12796	5802
688	12813	5783
689	12829	5763
690	12844	5743
691	12862	5725
692	12880	5705
693	12897	5686
694	12912	5666
695	12927	5646
696	12942	5626
697	12957	5606
698	12972	5585
699	12988	5566
700	13003	5546
701	13019	5526
702	13035	5507
703	13052	5487
704	13067	5468
705	13083	5448
706	13100	5429
707	13119	5410
708	13135	5391
709	13153	5372
710	13172	5354
711	13190	5335
712	13211	5317
713	13228	5298
714	13243	5278
715	13259	5259
716	13276	5240
717	13294	5221
718	13311	5202
719	13333	5185
720	13353	5167
721	13372	5149
722	13390	5130
723	13409	5112
724	13427	5093
725	13445	5074
726	13462	5055
727	13479	5036
728	13496	5017
729	13519	5000
730	13536	4981
731	13557	4963
732	13575	4945
733	13594	4926
734	13612	4907
735	13628	4888
736	13645	4869
737	13664	4851
738	13685	4833
739	13701	4814
740	13719	4795
741	13735	4776
742	13755	4758
743	13772	4738
744	13792	4720
745	13810	4702
746	13826	4682
747	13843	4663
748	13859	4644
749	13878	4626
750	13895	4607
751	13914	4588
752	13933	4570
753	13951	4551
754	13969	4532
755	13985	4513
756	14001	4494
757	14023	4477
758	14047	4460
759	14066	4441
760	14085	4423
761	14105	4405
762	14122	4386
763	14138	4367
764	14156	4348
765	14175	4330
766	14192	4311
767	14210	4292
768	14228	4274
769	14245	4255
770	14262	4236
771	14279	4217
772	14298	4198
773	14315	4180
774	14334	4161
775	14348	4141
776	14365	4123
777	14383	4104
778	14403	4086
779	14425	4068
780	14444	4050
781	14460	4031
782	14479	4012
783	14497	3994
784	14516	3975
785	14536	3957
786	14557	3939
787	14577	3921
788	14596	3903
789	14646	3893
790	14677	3878
791	14694	3859
792	14716	3841
793	14735	3823
794	14753	3804
795	14769	3785
796	14785	3766
797	14804	3747
798	14823	3729
799	14843	3710
800	14863	3692
801	14882	3674
802	14898	3655
803	14919	3637
804	14936	3618
805	14955	3599
806	14974	3581
807	14993	3562
808	15013	3544
809	15035	3526
810	15057	3508
811	15075	3490
812	15092	3471
813	15115	3453
814	15144	3437
815	15161	3418
816	15181	3400
817	15201	3382
818	15218	3363
819	15236	3344
820	15253	3325
821	15274	3307
822	15289	3288
823	15307	3269
824	15324	3250
825	15342	3231
826	15360	3213
827	15377	3194
828	15394	3175
829	15412	3156
830	15435	3139
831	15453	3120
832	15471	3101
833	15487	3082
834	15503	3063
835	15522	3044
836	15540	3026
837	15556	3007
838	15574	2988
839	15592	2970
840	15609	2951
841	15626	2932
842	15643	2913
843	15661	2894
844	15682	2876
845	15699	2857
846	15718	2839
847	15739	2821
848	15757	2802
849	15777	2784
850	15794	2765
851	15817	2747
852	15840	2729
853	15860	2711
