iter	MultiClass
0	1.075772049
1	1.058685233
2	1.045710807
3	1.03140979
4	1.019448257
5	1.009310096
6	1.000414864
7	0.9919857943
8	0.9827277686
9	0.9760459787
10	0.96940691
11	0.9627457299
12	0.9567216328
13	0.9518738173
14	0.9455806377
15	0.9408923858
16	0.9371663711
17	0.9317591004
18	0.9269352012
19	0.9226520884
20	0.9202248523
21	0.91579558
22	0.9139461075
23	0.9107159011
24	0.907183858
25	0.9052998581
26	0.9031038083
27	0.9009197043
28	0.8977076691
29	0.8960432233
30	0.894291984
31	0.8926041322
32	0.8899609236
33	0.8871215781
34	0.8857023404
35	0.8838254812
36	0.8806069034
37	0.8795481569
38	0.8765070993
39	0.8754555049
40	0.873871158
41	0.8722608513
42	0.8708985091
43	0.8695864136
44	0.8679022475
45	0.8656307025
46	0.8646980195
47	0.8623982022
48	0.8612618624
49	0.8591160481
50	0.8570391536
51	0.8559507751
52	0.8542466966
53	0.8525256019
54	0.8517337052
55	0.8505922283
56	0.8487074935
57	0.8472118882
58	0.8451273214
59	0.8433107708
60	0.8422055635
61	0.8410062023
62	0.8400162271
63	0.8388339801
64	0.8379707587
65	0.8368055056
66	0.8356238947
67	0.8345309745
68	0.8334451313
69	0.8324944345
70	0.8305678995
71	0.829655406
72	0.8288118944
73	0.8277408965
74	0.8267829685
75	0.8261460837
76	0.8253462123
77	0.8245328981
78	0.823645266
79	0.8219431438
80	0.8210427006
81	0.82028506
82	0.8190945934
83	0.8182427418
84	0.8173860458
85	0.8164487777
86	0.8159339387
87	0.8152037239
88	0.8141477704
89	0.813397091
90	0.8126003329
91	0.8115889895
92	0.8106819875
93	0.8098107098
94	0.8087013855
95	0.8080562503
96	0.8073286698
97	0.806309351
98	0.8050734036
99	0.8039621557
100	0.8032540746
101	0.802366977
102	0.8012322273
103	0.799765635
104	0.798627138
105	0.7978620408
106	0.7969536531
107	0.7957454744
108	0.795234269
109	0.794226516
110	0.793903392
111	0.7929173394
112	0.7919999551
113	0.790699046
114	0.7893359694
115	0.7887912368
116	0.7874051646
117	0.7854117581
118	0.7842167274
119	0.7837007185
120	0.7828590619
121	0.7822185197
122	0.7811192787
123	0.7803309634
124	0.7793466693
125	0.7788952805
126	0.7775691834
127	0.776646705
128	0.7757927858
129	0.774558184
130	0.7734882306
131	0.7721419705
